home_avgGoalsFor,home_avgGoalsAgainst,home_totalMatches,home_firstHalfAvgGoalsFor,home_firstHalfAvgGoalsAgainst,away_avgGoalsFor,away_avgGoalsAgainst,away_totalMatches,away_firstHalfAvgGoalsFor,away_firstHalfAvgGoalsAgainst,home_weighted_avgGoalsFor,home_weighted_avgGoalsAgainst,away_weighted_avgGoalsFor,away_weighted_avgGoalsAgainst,home_last8_avgGoalsFor,away_last8_avgGoalsFor,league_avgTotalGoals,league_avgHomeGoals,league_avgAwayGoals,goalsHome,goalsAway,totalGoals,firstHalfGoals,eventId,homeNick,awayNick
2.688046647230321,2.361516034985423,343,1.3615160349854227,1.154518950437318,2.514367816091954,2.2729885057471266,348,1.293103448275862,1.043103448275862,2.6449999999999996,2.142,2.2969999999999997,2.282,2.25,1.125,5.11768154786833,2.592093140128989,2.525588407739342,2,3,5,2,,labotryas,DaVa
2.4883116883116885,3.0987012987012985,385,1.2753246753246754,1.5974025974025974,2.5987460815047023,2.7147335423197494,319,1.2946708463949843,1.3510971786833856,3.0589999999999997,3.574,2.364,2.343,3.0,1.375,5.11768154786833,2.592093140128989,2.525588407739342,1,3,4,2,,RossFCDK,Jekunam
2.514367816091954,2.2729885057471266,348,1.293103448275862,1.043103448275862,2.4883116883116885,3.0987012987012985,385,1.2753246753246754,1.5974025974025974,2.2969999999999997,2.282,3.0589999999999997,3.574,1.125,3.0,5.11768154786833,2.592093140128989,2.525588407739342,1,1,2,1,,DaVa,RossFCDK
2.83982683982684,2.277056277056277,231,1.5367965367965368,1.1601731601731602,2.688046647230321,2.361516034985423,343,1.3615160349854227,1.154518950437318,2.8529999999999998,2.3209999999999997,2.6449999999999996,2.142,2.875,2.25,5.11768154786833,2.592093140128989,2.525588407739342,2,1,3,1,,BlackStar98,labotryas
2.83982683982684,2.277056277056277,231,1.5367965367965368,1.1601731601731602,2.4883116883116885,3.0987012987012985,385,1.2753246753246754,1.5974025974025974,2.8529999999999998,2.3209999999999997,3.0589999999999997,3.574,2.875,3.0,5.11768154786833,2.592093140128989,2.525588407739342,3,2,5,3,,BlackStar98,RossFCDK
2.514367816091954,2.2729885057471266,348,1.293103448275862,1.043103448275862,2.5987460815047023,2.7147335423197494,319,1.2946708463949843,1.3510971786833856,2.2969999999999997,2.282,2.364,2.343,1.125,1.375,5.11768154786833,2.592093140128989,2.525588407739342,4,4,8,4,,DaVa,Jekunam
2.5987460815047023,2.7147335423197494,319,1.2946708463949843,1.3510971786833856,2.83982683982684,2.277056277056277,231,1.5367965367965368,1.1601731601731602,2.364,2.343,2.8529999999999998,2.3209999999999997,1.375,2.875,5.11768154786833,2.592093140128989,2.525588407739342,2,3,5,4,,Jekunam,BlackStar98
2.4883116883116885,3.0987012987012985,385,1.2753246753246754,1.5974025974025974,2.688046647230321,2.361516034985423,343,1.3615160349854227,1.154518950437318,3.0589999999999997,3.574,2.6449999999999996,2.142,3.0,2.25,5.11768154786833,2.592093140128989,2.525588407739342,2,3,5,2,,RossFCDK,labotryas
2.688046647230321,2.361516034985423,343,1.3615160349854227,1.154518950437318,2.5987460815047023,2.7147335423197494,319,1.2946708463949843,1.3510971786833856,2.6449999999999996,2.142,2.364,2.343,2.25,1.375,5.11768154786833,2.592093140128989,2.525588407739342,2,3,5,2,,labotryas,Jekunam
2.83982683982684,2.277056277056277,231,1.5367965367965368,1.1601731601731602,2.514367816091954,2.2729885057471266,348,1.293103448275862,1.043103448275862,2.8529999999999998,2.3209999999999997,2.2969999999999997,2.282,2.875,1.125,5.11768154786833,2.592093140128989,2.525588407739342,1,1,2,1,,BlackStar98,DaVa
2.514367816091954,2.2729885057471266,348,1.293103448275862,1.043103448275862,2.688046647230321,2.361516034985423,343,1.3615160349854227,1.154518950437318,2.2969999999999997,2.282,2.6449999999999996,2.142,1.125,2.25,5.11768154786833,2.592093140128989,2.525588407739342,4,4,8,3,,DaVa,labotryas
2.5987460815047023,2.7147335423197494,319,1.2946708463949843,1.3510971786833856,2.4883116883116885,3.0987012987012985,385,1.2753246753246754,1.5974025974025974,2.364,2.343,3.0589999999999997,3.574,1.375,3.0,5.11768154786833,2.592093140128989,2.525588407739342,6,4,10,7,,Jekunam,RossFCDK
2.4883116883116885,3.0987012987012985,385,1.2753246753246754,1.5974025974025974,2.514367816091954,2.2729885057471266,348,1.293103448275862,1.043103448275862,3.0589999999999997,3.574,2.2969999999999997,2.282,3.0,1.125,5.11768154786833,2.592093140128989,2.525588407739342,2,2,4,2,,RossFCDK,DaVa
2.688046647230321,2.361516034985423,343,1.3615160349854227,1.154518950437318,2.83982683982684,2.277056277056277,231,1.5367965367965368,1.1601731601731602,2.6449999999999996,2.142,2.8529999999999998,2.3209999999999997,2.25,2.875,5.11768154786833,2.592093140128989,2.525588407739342,3,3,6,4,,labotryas,BlackStar98
2.4883116883116885,3.0987012987012985,385,1.2753246753246754,1.5974025974025974,2.83982683982684,2.277056277056277,231,1.5367965367965368,1.1601731601731602,3.0589999999999997,3.574,2.8529999999999998,2.3209999999999997,3.0,2.875,5.11768154786833,2.592093140128989,2.525588407739342,1,4,5,2,,RossFCDK,BlackStar98
2.5987460815047023,2.7147335423197494,319,1.2946708463949843,1.3510971786833856,2.514367816091954,2.2729885057471266,348,1.293103448275862,1.043103448275862,2.364,2.343,2.2969999999999997,2.282,1.375,1.125,5.11768154786833,2.592093140128989,2.525588407739342,2,1,3,1,,Jekunam,DaVa
2.83982683982684,2.277056277056277,231,1.5367965367965368,1.1601731601731602,2.5987460815047023,2.7147335423197494,319,1.2946708463949843,1.3510971786833856,2.8529999999999998,2.3209999999999997,2.364,2.343,2.875,1.375,5.11768154786833,2.592093140128989,2.525588407739342,3,3,6,4,,BlackStar98,Jekunam
2.688046647230321,2.361516034985423,343,1.3615160349854227,1.154518950437318,2.4883116883116885,3.0987012987012985,385,1.2753246753246754,1.5974025974025974,2.6449999999999996,2.142,3.0589999999999997,3.574,2.25,3.0,5.11768154786833,2.592093140128989,2.525588407739342,4,4,8,6,,labotryas,RossFCDK
2.5987460815047023,2.7147335423197494,319,1.2946708463949843,1.3510971786833856,2.688046647230321,2.361516034985423,343,1.3615160349854227,1.154518950437318,2.364,2.343,2.6449999999999996,2.142,1.375,2.25,5.11768154786833,2.592093140128989,2.525588407739342,0,4,4,1,,Jekunam,labotryas
2.514367816091954,2.2729885057471266,348,1.293103448275862,1.043103448275862,2.83982683982684,2.277056277056277,231,1.5367965367965368,1.1601731601731602,2.2969999999999997,2.282,2.8529999999999998,2.3209999999999997,1.125,2.875,5.11768154786833,2.592093140128989,2.525588407739342,5,2,7,4,,DaVa,BlackStar98
2.688046647230321,2.361516034985423,343,1.3615160349854227,1.154518950437318,2.514367816091954,2.2729885057471266,348,1.293103448275862,1.043103448275862,2.6449999999999996,2.142,2.2969999999999997,2.282,2.25,1.125,5.11768154786833,2.592093140128989,2.525588407739342,5,4,9,2,,labotryas,DaVa
2.4883116883116885,3.0987012987012985,385,1.2753246753246754,1.5974025974025974,2.5987460815047023,2.7147335423197494,319,1.2946708463949843,1.3510971786833856,3.0589999999999997,3.574,2.364,2.343,3.0,1.375,5.11768154786833,2.592093140128989,2.525588407739342,3,2,5,3,,RossFCDK,Jekunam
2.514367816091954,2.2729885057471266,348,1.293103448275862,1.043103448275862,2.4883116883116885,3.0987012987012985,385,1.2753246753246754,1.5974025974025974,2.2969999999999997,2.282,3.0589999999999997,3.574,1.125,3.0,5.11768154786833,2.592093140128989,2.525588407739342,2,2,4,1,,DaVa,RossFCDK
2.83982683982684,2.277056277056277,231,1.5367965367965368,1.1601731601731602,2.688046647230321,2.361516034985423,343,1.3615160349854227,1.154518950437318,2.8529999999999998,2.3209999999999997,2.6449999999999996,2.142,2.875,2.25,5.11768154786833,2.592093140128989,2.525588407739342,3,4,7,3,,BlackStar98,labotryas
2.557377049180328,2.7192622950819674,488,1.2459016393442623,1.3360655737704918,3.391566265060241,1.9036144578313252,166,1.608433734939759,0.9156626506024096,2.759,2.628,3.535,1.988,2.375,4.5,5.11768154786833,2.592093140128989,2.525588407739342,2,3,5,2,,hakuna,Kalibrikon
2.6355555555555554,2.7466666666666666,450,1.268888888888889,1.3666666666666667,2.390697674418605,2.2116279069767444,430,1.1837209302325582,1.0953488372093023,2.282,3.1009999999999995,2.4829999999999997,2.4779999999999998,2.5,2.875,5.11768154786833,2.592093140128989,2.525588407739342,0,3,3,1,,Hristian05,BlueEyes
